GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-lab,com.library.model,Book,5,15,0,0,3,6,3,1,3,1
library-lab,com.library.model,Loan,8,17,0,0,4,6,3,1,3,1
library-lab,com.library.model,Member,7,12,0,0,4,5,4,1,4,1
library-lab,com.library,App,7,0,0,0,3,0,2,0,2,0
